Subsidiary_Responsible;Client;Number_of_Deliveries;Total_KG;Number_of_volumes;Total_Cargo_Shipped;Total_Shipped_Value;Average_Shipping_Value;Shipping_Value_on_Product_Value;Shipping_Value/KG;Suggested_adjustment
FLP;Fibria Celulose S/A;35;696963;23444;6583619;321330;3914,28;4,31;0,37;49,1
MTS;Gerdau S.A.;84;260045;4886;8514955;202095,59;6236,94;3,27;0,96;18
TLC;Netshoes;42;463000;28347;9489351;204198,03;4270,93;2,01;0,39;44,8
BHI;Gafisa;58;473866;13664;4684306;167947,83;1139,86;3,96;0,41;45
BHI;Klabin;187;393561;16782;7653974;98967,75;343,11;2,25;0,44;49,1
BHI;Synergy Group;368;73595;5693;3251003;75797,17;441,72;3,98;1,41;23,9
SRP;Marilan Alimentos S/A;188;75736;2140;2196376;71535,31;352,09;3,42;1,18;21,9
BHI;Hotel Urbano;194;197546;5878;1080492;68792,49;449,05;5,44;0,33;48,4
BHI;Kalunga Papelaria ;120;110757;1056;3450436;61076,95;327,89;1,85;0,63;27,8
TCT;Cemar;224;50386;2471;1575132;43772,63;438,28;3,27;1,37;39,1
BHI;Todeschini;96;45952;2191;1405503;39540,02;147,35;3,22;0,89;32,9
BHI;Prodepa;232;29494;1529;1012446;39996,54;390,41;3,84;1,28;36,1
BHI;Grupo Santine;122;121060;1800;473778;36545,01;165,11;7,78;0,31;49,4
BHI;Magna Sistemas;210;111219;5249;756736;34483,96;486,43;4,87;0,43;49,4
BLH;Mercotudos S/A;83;43291;606;1027410;36047,91;339,42;3,4;0,89;37,7
ALG;Editora Vetor;100;26987;1865;531461;37374,24;470,6;7,34;1,34;25,7
BHI;Battistella Veiculos;95;48822;3893;1268459;38295,5;193,54;2,54;0,71;40,5
TCT;RFM Construtora;127;32098;906;532755;30981,52;131,06;6,68;1,08;29,4
TCT;Dakota S/A;240;21263;845;1225654;34272,24;1598,31;2,52;1,68;42,3
BHI;Fujioka Eletro Imagem;19;36231;2153;1118118;29236,29;5411,93;2,73;0,87;31,7
SRP;Primax Transportes;4;75685;1240;437005;27930,56;321,19;7,42;0,43;54,8
BHI;Bioenergia SJ;75;22584;5302;1354999;21593,05;1323,57;2,18;1,44;36,3
BHI;Baumgarten Gráfica;20;22836;1023;912250;20585,58;179,05;2,3;1,11;24,3
BHI;Softwares Nordica;106;9903;417;438198;18133,8;721,7;4,57;1,8;17,3
TCT;Bonasoldi;30;16517;715;358663;16375,92;606,51;4,92;1,11;40,6
TCT;Next Comunicações;30;19735;759;607793;16759,56;1096,08;2,65;0,74;39,6
TCT;Instituto Genesis ;12;11334;670;200643;14536,42;336,54;6,36;1,27;42,3
BHI;Movee;50;22547;2295;372400;14467,66;507,8;3,53;0,87;37,2
TCT;Construtora Calper;31;18470;940;647137;13135,54;14371,32;2,09;0,81;35,7
BHI;Digideias Agência de Marketing;4;8854;220;1285606;13264,24;229,88;1,04;2,04;29,4
BHI;laselva Soluções;55;7948;467;536866;13924,34;438,94;2,31;1,53;37,2
BLH;Instituto Realize;33;8428;514;131679;12666,72;1150,79;11,17;1,72;13,5
